,city,lat,lng,Cloudiness,Country,Date,Humidity,Windspeed,Max temp
85,Rocha,-34.48,-54.34,92,UY,1566660162,62,3.88,13.82
86,Road Town,18.42,-64.62,40,VG,1566660126,70,7.17,31.0
87,Georgetown,6.8,-58.16,40,GY,1566659987,74,4.1,31.0
88,Mason City,43.15,-93.2,40,US,1566660009,72,3.6,20.0
89,Bandarbeyla,9.49,50.81,100,SO,1566660162,42,9.78,31.52
90,Hermanus,-34.42,19.24,0,ZA,1566660009,83,1.79,18.33
91,Helmsdale,58.12,-3.65,0,GB,1566660009,60,3.1,21.0
92,Petrov Val,50.14,45.21,1,RU,1566660009,54,3.34,25.02
93,Fortuna,40.6,-124.16,90,US,1566660004,100,2.1,13.89
94,Padang,-0.92,100.36,83,ID,1566660163,82,7.44,27.22
95,San Quintin,17.54,120.52,100,PH,1566660001,88,2.33,24.22
96,Hasaki,35.73,140.83,75,JP,1566660163,94,1.5,24.0
97,Upernavik,72.79,-56.15,43,GL,1566660164,64,3.98,5.82
98,Umm Kaddadah,13.6,26.69,34,SD,1566660010,38,3.62,31.42
99,Grindavik,63.84,-22.43,20,IS,1566660010,76,3.6,13.0
100,Dukat,40.25,19.57,38,AL,1566660011,46,1.34,31.11
101,Chokurdakh,70.62,147.9,88,RU,1566659997,64,2.58,12.62
102,Faanui,-16.48,-151.75,61,PF,1566659984,72,3.51,25.32
103,Andros Town,24.73,-77.79,40,BS,1566660011,79,6.2,30.0
104,Qaanaaq,77.48,-69.36,91,GL,1566660011,59,8.32,3.32
105,Guerrero Negro,27.97,-114.04,0,MX,1566660004,75,3.01,21.12
106,Rundu,-17.91,19.77,0,NA,1566660012,10,4.6,27.0
107,Biltine,14.53,20.93,7,TD,1566660012,38,0.45,33.42
108,Yermakovskoye,53.28,92.4,100,RU,1566660012,94,4.37,12.22
109,Tarakan,3.3,117.63,78,ID,1566660013,80,1.75,27.22
110,Cauquenes,-35.97,-72.32,77,CL,1566660013,57,1.01,16.22
111,San Antonio,-33.58,-71.61,39,CL,1566660013,62,1.0,18.0
112,Bharatpur,27.22,77.5,98,IN,1566660014,63,5.2,31.12
113,Cabo San Lucas,22.89,-109.91,40,MX,1566659918,94,2.6,29.44
114,Omboue,-1.57,9.26,80,GA,1566660014,86,4.91,24.42
115,Nemuro,43.32,145.57,15,JP,1566660014,96,0.61,15.72
116,Hambantota,6.12,81.12,75,LK,1566660166,100,2.1,27.0
117,Clyde River,70.47,-68.59,82,CA,1566660013,49,1.9,10.62
118,Iwanai,42.97,140.51,92,JP,1566660014,96,2.56,15.32
119,Jalu,29.03,21.55,0,LY,1566660111,15,2.09,37.42
120,Sur,22.57,59.53,0,OM,1566660039,57,2.27,29.92
121,Calama,-22.46,-68.93,0,CL,1566660015,6,4.1,19.0
122,Tuatapere,-46.13,167.69,73,NZ,1566660167,83,1.34,6.67
123,Nanortalik,60.14,-45.24,100,GL,1566659970,65,4.66,7.82
124,Kapaa,22.08,-159.32,90,US,1566659944,74,7.7,27.0
125,General Roca,-39.03,-67.58,0,AR,1566660016,66,1.5,13.0
126,Nkhata Bay,-11.61,34.3,63,MW,1566660016,45,3.65,21.62
127,Oktyabrskoye,56.73,85.44,20,RU,1566660016,82,4.0,18.33
128,Sambava,-14.27,50.17,100,MG,1566659733,69,1.33,21.32
129,Broome,52.47,1.45,0,GB,1566660016,39,4.6,28.33
130,Oda,35.19,132.5,100,JP,1566660017,76,7.33,25.42
131,Caarapo,-22.63,-54.82,0,BR,1566659842,28,3.85,26.52
132,Jerantut,3.94,102.37,76,MY,1566660017,95,0.75,22.42
133,Victoria,5.28,115.24,75,BN,1566660169,83,4.23,29.0
134,Humaita,-24.93,-65.37,0,AR,1566660017,45,1.0,21.0
135,Airai,-8.93,125.41,62,TL,1566659800,80,2.27,19.32
136,Issoire,45.54,3.25,0,FR,1566659900,22,1.5,33.0
137,Coahuayana,18.62,-100.35,94,MX,1566659969,91,0.28,23.92
138,Haputale,6.77,80.96,75,LK,1566660008,100,2.1,27.0
139,Kisanga,-11.72,27.4,60,CD,1566660018,18,2.37,27.52
140,Torata,-3.6,-79.89,90,EC,1566660018,83,1.72,32.0
141,Valkeala,60.94,26.8,40,FI,1566660019,63,4.1,17.0
142,Bajil,38.23,-2.07,0,ES,1566660019,30,3.58,28.89
143,Yeppoon,-23.13,150.74,75,AU,1566660019,82,3.1,17.0
144,Gayeri,12.65,0.49,71,BF,1566660019,72,6.38,28.42
145,Khatanga,71.98,102.47,98,RU,1566660020,85,3.28,13.22
146,Mar del Plata,-46.43,-67.52,66,AR,1566660011,47,10.98,12.32
147,Murakami,38.29,139.58,100,JP,1566660020,76,0.96,21.62
148,Salalah,17.01,54.1,40,OM,1566660171,94,3.1,26.0
149,Washington DC.,38.9,-77.04,1,US,1566659388,52,2.1,23.33
150,Mahebourg,-20.41,57.7,75,MU,1566659994,78,6.7,22.0
151,Quatre Cocos,-20.21,57.76,75,MU,1566660021,78,6.7,22.0
152,Neuquen,-38.95,-68.06,0,AR,1566659735,76,1.0,10.0
153,Northam,-31.65,116.67,8,AU,1566660022,81,2.78,8.0
154,Kobe,34.69,135.19,75,JP,1566660022,73,4.1,25.0
155,Alofi,-19.06,-169.92,0,NU,1566660022,94,3.1,24.0
156,Korenovsk,45.46,39.45,20,RU,1566660022,66,4.0,37.22
157,Juneau,58.3,-134.42,90,US,1566660023,93,1.22,11.0
158,Angola,41.63,-85.0,20,US,1566660023,100,6.2,20.56
159,Wuwei,37.93,102.64,3,CN,1566660023,49,1.62,18.52
160,Amarpatan,24.32,80.97,100,IN,1566660024,88,1.73,26.02
161,Debre Sina,9.85,39.76,32,ET,1566660024,76,0.49,17.32
162,Flinders,-34.58,150.85,0,AU,1566660024,60,1.5,16.11
163,Acapulco,16.86,-99.88,40,MX,1566660174,74,2.1,28.0
164,Port Moresby,-9.47,147.16,100,PG,1566660175,82,9.8,23.42
165,Zaoyang,32.12,112.76,87,CN,1566660025,67,3.19,26.22
166,Itupeva,-23.15,-47.06,20,BR,1566660025,49,6.2,25.0
167,Leshukonskoye,64.9,45.76,100,RU,1566660025,78,2.12,13.62
168,Ribeira Grande,38.52,-28.7,20,PT,1566659972,57,7.7,25.0
169,Tiksi,71.64,128.87,100,RU,1566660010,98,0.66,9.12
170,Dikson,73.51,80.55,100,RU,1566660176,96,7.14,5.32
171,San Cristobal,14.68,-86.92,26,HN,1566660176,61,2.3,25.62
172,Yulara,-25.24,130.99,0,AU,1566659965,26,4.1,15.0
173,Shangzhi,45.21,127.96,0,CN,1566660026,96,0.78,12.92
174,Lonavale,18.75,73.42,40,IN,1566660027,83,3.1,28.0
175,Arraial do Cabo,-22.97,-42.02,40,BR,1566659981,57,1.5,24.0
176,Savonlinna,61.87,28.88,0,FI,1566660027,67,3.6,17.0
177,Krosno Odrzanskie,52.05,15.1,0,PL,1566660027,44,4.1,30.0
178,Vesoul,47.62,6.16,0,FR,1566660028,39,1.0,31.11
179,Honiara,-9.43,159.96,20,SB,1566660028,94,1.0,25.0
180,Forestville,48.74,-69.09,20,CA,1566660028,71,4.1,14.0
181,Weyburn,49.67,-103.85,33,CA,1566660028,86,1.79,21.67
182,Nawa,27.02,75.0,35,IN,1566660029,40,3.47,31.72
183,Yerbogachen,61.28,108.01,100,RU,1566660177,95,0.79,11.82
184,Vuktyl,63.86,57.31,100,RU,1566660029,85,1.64,11.62
185,Antalaha,-14.9,50.28,100,MG,1566660029,80,1.63,18.32
186,Khyriv,49.53,22.85,87,UA,1566660030,47,3.89,25.56
187,Anadyr,64.73,177.51,0,RU,1566660030,76,4.0,12.0
188,Isangel,-19.55,169.27,94,VU,1566660030,69,8.95,20.32
189,Kovdor,67.56,30.47,50,RU,1566660178,74,4.54,12.12
190,Toora-Khem,52.47,96.11,100,RU,1566660031,89,0.88,6.52
191,Erzin,36.95,36.2,0,TR,1566660031,55,6.7,36.11
